"income","education","occupation","type.of.home","ethnic.classification"
"[50,75)","graduate study","sales","house","hispanic"
"[0,10)","grades 9-11","student","house","hispanic"
"[15,20)","grades 9-11","laborer","apartment","hispanic"
"[40,50)","college (1-3 years)","laborer","house","hispanic"
"[50,75)","graduate study","professional/managerial","house","hispanic"
"[20,25)","high school graduate","clerical/service","house","hispanic"
"[0,10)","grades 9-11","homemaker","house","hispanic"
"[20,25)","high school graduate","laborer","house","hispanic"
"[20,25)","high school graduate","clerical/service","apartment","hispanic"
"[15,20)","high school graduate","clerical/service","house","hispanic"
"[50,75)","grades 9-11","sales","house","hispanic"
"[20,25)","grades 9-11","laborer","apartment","hispanic"
"[50,75)","college (1-3 years)","professional/managerial","house","hispanic"
"[50,75)","college (1-3 years)","professional/managerial","house","hispanic"
"[30,40)","college (1-3 years)","clerical/service","house","hispanic"
"[50,75)","high school graduate","sales","house","hispanic"
"[20,25)","high school graduate","laborer","house","hispanic"
"[50,75)","college graduate","professional/managerial","house","hispanic"
"[10,15)","college (1-3 years)","professional/managerial","house","hispanic"
"[25,30)","high school graduate","professional/managerial","house","hispanic"
"[0,10)","grades 9-11","student","apartment","hispanic"
"[30,40)","high school graduate","laborer","house","hispanic"
"[15,20)","grades 9-11","homemaker","house","hispanic"
"[0,10)","grade <9","student","house","hispanic"
"[0,10)","high school graduate","clerical/service","apartment","hispanic"
"[30,40)","high school graduate","laborer","house","hispanic"
"[30,40)","high school graduate","laborer","house","hispanic"
"[30,40)","college (1-3 years)","laborer","house","hispanic"
"[0,10)","grades 9-11","student","house","hispanic"
"[40,50)","college (1-3 years)","homemaker","house","hispanic"
"[25,30)","high school graduate","unemployed","house","hispanic"
"[15,20)","grades 9-11","homemaker","house","white"
"[25,30)","grades 9-11","retired","house","hispanic"
"[25,30)","grades 9-11","unemployed","house","hispanic"
"[25,30)","grades 9-11","laborer","house","hispanic"
"[50,75)","college graduate","professional/managerial","house","white"
"[40,50)","college (1-3 years)","homemaker","house","white"
"[50,75)","graduate study","retired","house","white"
"[40,50)","graduate study","homemaker","house","white"
"75+","college graduate","professional/managerial","house","white"
"75+","high school graduate","clerical/service","condominium","white"
"[50,75)","high school graduate","clerical/service","house","white"
"[50,75)","college (1-3 years)","homemaker","house","white"
"[50,75)","college (1-3 years)","clerical/service","house","white"
"[50,75)","college graduate","clerical/service","house","white"
"[40,50)","high school graduate","homemaker","house","white"
"75+","college graduate","homemaker","house","white"
"[25,30)","college (1-3 years)","professional/managerial","condominium","white"
"[50,75)","college (1-3 years)","homemaker","house","white"
"[30,40)","college (1-3 years)","sales","house","white"
"75+","college (1-3 years)","homemaker","house","white"
"[25,30)","college (1-3 years)","laborer","condominium","white"
"[15,20)","high school graduate","homemaker","apartment","white"
"75+","high school graduate","professional/managerial","mobile Home","hispanic"
"[50,75)","college (1-3 years)","professional/managerial","house","white"
"75+","college graduate","sales","house","white"
"[30,40)","college (1-3 years)","laborer","house","white"
"75+","graduate study","professional/managerial","house","white"
"[40,50)","high school graduate","homemaker","house","white"
"[40,50)","college (1-3 years)","professional/managerial","condominium","white"
"75+","college graduate","homemaker","house","white"
"75+","college graduate","homemaker","house","white"
"75+","graduate study","professional/managerial","house","white"
"75+","college graduate","professional/managerial","house","white"
"[40,50)","college (1-3 years)","homemaker","house","white"
"[50,75)","high school graduate","professional/managerial","house","white"
"[30,40)","college (1-3 years)","sales","house","white"
"[40,50)","graduate study","homemaker","house","white"
"[50,75)","high school graduate","homemaker","house","white"
"75+","college (1-3 years)","homemaker","house","white"
"[20,25)","college graduate","military","house","white"
"[40,50)","high school graduate","sales","house","other"
"[50,75)","graduate study","professional/managerial","house","white"
"[40,50)","college (1-3 years)","professional/managerial","house","white"
"[20,25)","high school graduate","laborer","apartment","hispanic"
"[40,50)","graduate study","professional/managerial","house","white"
"[40,50)","high school graduate","professional/managerial","house","white"
"75+","college (1-3 years)","professional/managerial","house","white"
"75+","college graduate","professional/managerial","house","white"
"[40,50)","graduate study","homemaker","house","other"
"[0,10)","high school graduate","student","house","white"
"[40,50)","college graduate","clerical/service","apartment","white"
"[30,40)","college (1-3 years)","clerical/service","other","white"
"75+","college graduate","professional/managerial","house","white"
"[0,10)","grade <9","student","house","white"
"[0,10)","college (1-3 years)","student","house","hispanic"
"[30,40)","college (1-3 years)","sales","house","white"
"[50,75)","graduate study","professional/managerial","house","white"
"[0,10)","grades 9-11","military","house","white"
"[50,75)","graduate study","professional/managerial","house","white"
"75+","high school graduate","laborer","house","white"
"[50,75)","high school graduate","professional/managerial","house","american indian"
"[50,75)","high school graduate","sales","house","hispanic"
"[30,40)","graduate study","professional/managerial","condominium","white"
"[50,75)","college graduate","professional/managerial","house","white"
"[0,10)","grades 9-11","student","house","asian"
"[30,40)","college graduate","homemaker","house","white"
"[10,15)","college graduate","professional/managerial","house","hispanic"
"75+","graduate study","professional/managerial","house","white"
"75+","college graduate","clerical/service","house","white"
"[0,10)","grades 9-11","laborer","apartment","black"
"[20,25)","college (1-3 years)","clerical/service","house","black"
"[15,20)","graduate study","homemaker","house","asian"
"75+","graduate study","homemaker","house","white"
"[25,30)","college (1-3 years)","homemaker","house","black"
"[0,10)","college (1-3 years)","homemaker","apartment","white"
"[20,25)","high school graduate","clerical/service","other","white"
"[0,10)","grades 9-11","student","other","white"
"[30,40)","graduate study","homemaker","house","white"
"[30,40)","college graduate","homemaker","house","white"
"[40,50)","college graduate","professional/managerial","house","white"
"[40,50)","graduate study","professional/managerial","house","white"
"[0,10)","grades 9-11","student","house","black"
"[0,10)","grade <9","unemployed","apartment","hispanic"
"[0,10)","grades 9-11","student","house","hispanic"
"[0,10)","grades 9-11","student","apartment","hispanic"
"[0,10)","grade <9","student","house","hispanic"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grades 9-11","student","house","asian"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grade <9","student","house","hispanic"
"[0,10)","grade <9","student","house","white"
"[0,10)","grades 9-11","student","condominium","black"
"[0,10)","grades 9-11","student","house","other"
"[0,10)","grades 9-11","student","house","other"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grade <9","student","condominium","white"
"[0,10)","graduate study","student","condominium","american indian"
"[30,40)","high school graduate","laborer","condominium","hispanic"
"[30,40)","high school graduate","homemaker","apartment","white"
"75+","college graduate","professional/managerial","house","white"
"[30,40)","high school graduate","homemaker","condominium","white"
"[50,75)","college (1-3 years)","homemaker","house","white"
"[0,10)","college (1-3 years)","student","house","white"
"[50,75)","graduate study","professional/managerial","house","white"
"[25,30)","college (1-3 years)","student","house","white"
"[0,10)","high school graduate","unemployed","house","white"
"[0,10)","grades 9-11","laborer","apartment","white"
"[0,10)","grades 9-11","student","house","black"
"[0,10)","grades 9-11","laborer","apartment","hispanic"
"[30,40)","college (1-3 years)","homemaker","house","white"
"75+","graduate study","professional/managerial","house","white"
"[50,75)","high school graduate","clerical/service","house","hispanic"
"[40,50)","college (1-3 years)","professional/managerial","house","asian"
"[30,40)","college graduate","professional/managerial","house","hispanic"
"[30,40)","grades 9-11","sales","house","other"
"[0,10)","grade <9","student","condominium","other"
"[0,10)","grade <9","student","house","hispanic"
"[0,10)","grade <9","student","condominium","white"
"[0,10)","grade <9","student","condominium","white"
"[25,30)","high school graduate","professional/managerial","house","white"
"[0,10)","grade <9","student","house","hispanic"
"[0,10)","grades 9-11","student","house","hispanic"
"75+","grades 9-11","sales","house","other"
"[0,10)","grade <9","student","house","white"
"[25,30)","high school graduate","homemaker","apartment","white"
"[0,10)","college (1-3 years)","sales","house","white"
"[20,25)","grades 9-11","unemployed","apartment","white"
"[50,75)","graduate study","professional/managerial","house","white"
"75+","high school graduate","unemployed","house","asian"
"[10,15)","college (1-3 years)","professional/managerial","house","asian"
"[30,40)","college (1-3 years)","laborer","house","white"
"[15,20)","grades 9-11","laborer","house","white"
"[50,75)","college graduate","professional/managerial","house","white"
"75+","college (1-3 years)","clerical/service","house","white"
"75+","grades 9-11","sales","house","asian"
"[50,75)","high school graduate","student","house","black"
"[25,30)","grades 9-11","student","house","white"
"[30,40)","high school graduate","homemaker","house","white"
"[0,10)","grade <9","student","other","american indian"
"75+","college (1-3 years)","professional/managerial","house","white"
"[50,75)","college (1-3 years)","clerical/service","house","hispanic"
"[25,30)","college (1-3 years)","clerical/service","house","hispanic"
"[50,75)","high school graduate","student","house","white"
"[50,75)","graduate study","professional/managerial","house","white"
"[40,50)","college (1-3 years)","laborer","apartment","hispanic"
"[30,40)","high school graduate","laborer","house","hispanic"
"[50,75)","college (1-3 years)","sales","apartment","black"
"[20,25)","college (1-3 years)","clerical/service","condominium","american indian"
"[25,30)","college graduate","laborer","apartment","white"
"75+","high school graduate","professional/managerial","house","asian"
"[15,20)","grades 9-11","professional/managerial","house","white"
"[50,75)","college (1-3 years)","clerical/service","house","other"
"[40,50)","grades 9-11","student","house","white"
"[50,75)","grades 9-11","student","house","other"
"[40,50)","high school graduate","professional/managerial","house","white"
"[50,75)","college (1-3 years)","homemaker","house","white"
"[0,10)","college (1-3 years)","sales","house","hispanic"
"[50,75)","graduate study","professional/managerial","house","white"
"75+","college graduate","professional/managerial","house","white"
"[25,30)","college (1-3 years)","professional/managerial","condominium","white"
"[30,40)","college (1-3 years)","military","house","white"
"[25,30)","grades 9-11","student","condominium","asian"
"[0,10)","grades 9-11","student","house","hispanic"
"[50,75)","high school graduate","clerical/service","house","white"
"[20,25)","grades 9-11","student","condominium","white"
"[15,20)","high school graduate","sales","house","white"
"[30,40)","grades 9-11","professional/managerial","house","hispanic"
"[50,75)","high school graduate","professional/managerial","house","white"
"[40,50)","college (1-3 years)","professional/managerial","apartment","white"
"[0,10)","college (1-3 years)","student","house","white"
"[0,10)","grades 9-11","student","other","white"
"[15,20)","college (1-3 years)","laborer","house","white"
"[50,75)","college (1-3 years)","professional/managerial","house","hispanic"
"[10,15)","college (1-3 years)","professional/managerial","apartment","hispanic"
"[50,75)","graduate study","professional/managerial","house","white"
"[30,40)","college (1-3 years)","clerical/service","house","hispanic"
"[0,10)","grades 9-11","student","house","white"
"[50,75)","college graduate","professional/managerial","house","white"
"[10,15)","college (1-3 years)","clerical/service","apartment","hispanic"
"[40,50)","graduate study","professional/managerial","house","white"
"[40,50)","college graduate","professional/managerial","apartment","hispanic"
"[50,75)","college (1-3 years)","laborer","house","white"
"[10,15)","college (1-3 years)","student","apartment","asian"
"[20,25)","grades 9-11","sales","house","white"
"[50,75)","graduate study","professional/managerial","house","white"
"[30,40)","college graduate","clerical/service","apartment","asian"
"[20,25)","college graduate","professional/managerial","condominium","black"
"[30,40)","college (1-3 years)","professional/managerial","apartment","white"
"[50,75)","college graduate","professional/managerial","house","other"
"[40,50)","college graduate","clerical/service","house","asian"
"[0,10)","grades 9-11","unemployed","house","pacific islander"
"[10,15)","college (1-3 years)","student","house","black"
"[50,75)","college (1-3 years)","professional/managerial","condominium","black"
"[10,15)","college (1-3 years)","student","house","hispanic"
"[40,50)","college (1-3 years)","clerical/service","house","black"
"[40,50)","college (1-3 years)","clerical/service","apartment","black"
"[40,50)","high school graduate","professional/managerial","apartment","hispanic"
"[30,40)","high school graduate","professional/managerial","house","black"
"[30,40)","college (1-3 years)","professional/managerial","condominium","black"
"[15,20)","college (1-3 years)","clerical/service","apartment","black"
"[30,40)","college graduate","homemaker","house","white"
"[20,25)","college (1-3 years)","professional/managerial","house","white"
"[30,40)","high school graduate","professional/managerial","house","white"
"[25,30)","high school graduate","homemaker","house","hispanic"
"[25,30)","college graduate","professional/managerial","apartment","black"
"[20,25)","college (1-3 years)","professional/managerial","apartment","white"
"[10,15)","high school graduate","laborer","apartment","pacific islander"
"[25,30)","college (1-3 years)","professional/managerial","apartment","white"
"[0,10)","high school graduate","homemaker","apartment","black"
"[50,75)","college (1-3 years)","student","house","american indian"
"[20,25)","college (1-3 years)","laborer","house","black"
"[0,10)","grades 9-11","student","other","asian"
"[30,40)","college graduate","clerical/service","other","white"
"[15,20)","college (1-3 years)","professional/managerial","house","other"
"[10,15)","college (1-3 years)","professional/managerial","apartment","hispanic"
"75+","college (1-3 years)","professional/managerial","house","white"
"[50,75)","college (1-3 years)","student","house","white"
"[10,15)","high school graduate","laborer","house","white"
"75+","graduate study","professional/managerial","house","white"
"[0,10)","grades 9-11","student","house","hispanic"
"[20,25)","high school graduate","clerical/service","house","hispanic"
"[10,15)","high school graduate","laborer","apartment","hispanic"
"[0,10)","grade <9","homemaker","apartment","hispanic"
"[20,25)","high school graduate","clerical/service","house","hispanic"
"[0,10)","college (1-3 years)","student","apartment","hispanic"
"[10,15)","high school graduate","student","apartment","hispanic"
"[0,10)","college (1-3 years)","student","apartment","black"
"[0,10)","grades 9-11","student","apartment","white"
"[0,10)","grades 9-11","student","house","black"
"75+","college graduate","professional/managerial","house","white"
"75+","graduate study","professional/managerial","house","white"
"[50,75)","college (1-3 years)","clerical/service","apartment","black"
"[50,75)","college graduate","professional/managerial","condominium","white"
"[50,75)","college graduate","professional/managerial","house","white"
"[20,25)","college graduate","homemaker","apartment","hispanic"
"[20,25)","college (1-3 years)","clerical/service","apartment","hispanic"
"[20,25)","college (1-3 years)","professional/managerial","apartment","american indian"
"75+","graduate study","professional/managerial","other","white"
"[50,75)","college (1-3 years)","professional/managerial","house","asian"
"[50,75)","high school graduate","laborer","apartment","white"
"75+","graduate study","professional/managerial","house","white"
"[0,10)","grades 9-11","student","house","hispanic"
"[15,20)","college (1-3 years)","professional/managerial","apartment","hispanic"
"[15,20)","grades 9-11","professional/managerial","apartment","hispanic"
"[40,50)","grades 9-11","student","house","hispanic"
"[40,50)","graduate study","laborer","apartment","american indian"
"[0,10)","grades 9-11","student","house","asian"
"[0,10)","grade <9","student","house","white"
"[0,10)","grades 9-11","student","house","black"
"[0,10)","grades 9-11","student","apartment","black"
"[0,10)","grades 9-11","student","house","black"
"[0,10)","grades 9-11","student","house","hispanic"
"[0,10)","grade <9","student","house","hispanic"
"[0,10)","grades 9-11","student","apartment","hispanic"
"[0,10)","grades 9-11","student","other","hispanic"
"[0,10)","grades 9-11","student","house","hispanic"
"[50,75)","grades 9-11","student","house","black"
"75+","college (1-3 years)","laborer","house","black"
"[50,75)","high school graduate","clerical/service","house","hispanic"
"75+","college graduate","professional/managerial","house","white"
"[10,15)","college (1-3 years)","professional/managerial","apartment","black"
"[30,40)","high school graduate","military","house","hispanic"
"[40,50)","high school graduate","student","apartment","hispanic"
"[25,30)","high school graduate","professional/managerial","house","hispanic"
"[40,50)","grade <9","professional/managerial","house","hispanic"
"[15,20)","high school graduate","laborer","house","hispanic"
"[40,50)","college (1-3 years)","laborer","house","hispanic"
"[10,15)","grade <9","clerical/service","house","hispanic"
"[20,25)","grades 9-11","homemaker","apartment","hispanic"
"[0,10)","grades 9-11","homemaker","house","hispanic"
"[0,10)","grades 9-11","clerical/service","house","hispanic"
"[30,40)","college (1-3 years)","homemaker","house","hispanic"
"[25,30)","high school graduate","homemaker","house","hispanic"
"[0,10)","grades 9-11","student","house","hispanic"
"[25,30)","high school graduate","professional/managerial","house","hispanic"
"[30,40)","college (1-3 years)","sales","house","hispanic"
"[40,50)","college (1-3 years)","professional/managerial","house","white"
"[10,15)","college graduate","homemaker","apartment","white"
"[0,10)","college (1-3 years)","homemaker","apartment","white"
"[25,30)","college (1-3 years)","homemaker","house","white"
"[15,20)","high school graduate","laborer","apartment","other"
"[15,20)","college (1-3 years)","clerical/service","house","white"
"[15,20)","college (1-3 years)","clerical/service","apartment","white"
"[50,75)","college graduate","homemaker","house","hispanic"
"[40,50)","college graduate","professional/managerial","house","white"
"[20,25)","high school graduate","professional/managerial","apartment","white"
"[0,10)","grades 9-11","clerical/service","apartment","asian"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","high school graduate","sales","house","white"
"[50,75)","college (1-3 years)","professional/managerial","house","hispanic"
"[0,10)","grades 9-11","student","house","hispanic"
"[50,75)","college (1-3 years)","professional/managerial","condominium","hispanic"
"[40,50)","college graduate","professional/managerial","condominium","black"
"[40,50)","college graduate","professional/managerial","house","white"
"[40,50)","college graduate","professional/managerial","house","white"
"[25,30)","high school graduate","clerical/service","apartment","white"
"[30,40)","high school graduate","clerical/service","apartment","white"
"[10,15)","high school graduate","military","house","hispanic"
"[40,50)","college graduate","clerical/service","apartment","hispanic"
"[50,75)","college graduate","professional/managerial","condominium","black"
"[50,75)","college graduate","professional/managerial","house","white"
"[0,10)","grades 9-11","student","house","black"
"[30,40)","college graduate","laborer","house","hispanic"
"[0,10)","grades 9-11","student","house","white"
"[25,30)","college (1-3 years)","sales","condominium","white"
"[0,10)","grades 9-11","unemployed","apartment","black"
"[40,50)","high school graduate","student","house","white"
"[40,50)","college graduate","professional/managerial","apartment","hispanic"
"[30,40)","college graduate","clerical/service","house","hispanic"
"[50,75)","high school graduate","student","house","black"
"[50,75)","high school graduate","laborer","house","white"
"[50,75)","high school graduate","professional/managerial","house","white"
"[30,40)","college (1-3 years)","clerical/service","house","white"
"75+","college graduate","professional/managerial","house","black"
"[25,30)","high school graduate","laborer","house","hispanic"
"[10,15)","high school graduate","unemployed","house","white"
"[50,75)","college (1-3 years)","professional/managerial","house","black"
"[20,25)","college (1-3 years)","sales","house","white"
"[0,10)","high school graduate","professional/managerial","house","white"
"[0,10)","grades 9-11","student","house","other"
"[0,10)","grades 9-11","student","house","asian"
"[50,75)","college graduate","sales","house","white"
"[15,20)","college (1-3 years)","professional/managerial","house","white"
"[50,75)","high school graduate","sales","house","white"
"75+","high school graduate","clerical/service","house","white"
"75+","high school graduate","laborer","house","white"
"[50,75)","high school graduate","professional/managerial","house","white"
"[50,75)","high school graduate","clerical/service","house","white"
"[30,40)","college graduate","professional/managerial","condominium","white"
"[40,50)","college graduate","professional/managerial","apartment","black"
"[40,50)","college (1-3 years)","sales","house","asian"
"[40,50)","college graduate","laborer","house","white"
"75+","college graduate","laborer","house","white"
"[50,75)","graduate study","professional/managerial","house","american indian"
"[50,75)","college graduate","professional/managerial","house","white"
"75+","graduate study","professional/managerial","condominium","white"
"75+","graduate study","professional/managerial","condominium","white"
"75+","college graduate","sales","house","white"
"75+","college graduate","professional/managerial","house","white"
"[50,75)","college (1-3 years)","homemaker","house","asian"
"[0,10)","grades 9-11","student","house","white"
"[40,50)","college graduate","sales","condominium","hispanic"
"[50,75)","college graduate","sales","condominium","hispanic"
"[50,75)","graduate study","professional/managerial","condominium","white"
"[50,75)","high school graduate","homemaker","condominium","hispanic"
"[50,75)","graduate study","professional/managerial","house","white"
"[50,75)","graduate study","professional/managerial","house","white"
"[0,10)","grades 9-11","student","house","white"
"[50,75)","college graduate","professional/managerial","house","white"
"[50,75)","high school graduate","homemaker","condominium","asian"
"[0,10)","grades 9-11","student","house","asian"
"75+","graduate study","professional/managerial","house","white"
"[50,75)","college graduate","professional/managerial","house","white"
"[40,50)","college graduate","professional/managerial","condominium","white"
"75+","college graduate","professional/managerial","house","hispanic"
"[0,10)","grades 9-11","student","apartment","hispanic"
"[0,10)","grade <9","student","apartment","hispanic"
"[0,10)","grade <9","student","apartment","hispanic"
"[0,10)","grade <9","student","apartment","hispanic"
"[30,40)","high school graduate","student","apartment","hispanic"
"[0,10)","grades 9-11","student","house","asian"
"[0,10)","grade <9","student","apartment","hispanic"
"[30,40)","high school graduate","student","apartment","hispanic"
"[0,10)","grade <9","student","house","hispanic"
"[30,40)","high school graduate","homemaker","apartment","hispanic"
"[0,10)","grade <9","student","house","asian"
"[50,75)","college graduate","clerical/service","house","asian"
"[50,75)","high school graduate","student","house","white"
"[40,50)","high school graduate","student","house","white"
"[0,10)","grades 9-11","student","house","white"
"[15,20)","college (1-3 years)","clerical/service","apartment","black"
"75+","college (1-3 years)","professional/managerial","house","hispanic"
"[50,75)","graduate study","professional/managerial","apartment","black"
"[0,10)","high school graduate","student","house","asian"
"[0,10)","high school graduate","sales","house","hispanic"
"[0,10)","grade <9","student","house","black"
"[30,40)","high school graduate","sales","apartment","black"
"75+","college graduate","professional/managerial","house","asian"
"75+","graduate study","professional/managerial","house","asian"
"[30,40)","college graduate","professional/managerial","house","asian"
"[50,75)","high school graduate","homemaker","house","white"
"[40,50)","college (1-3 years)","laborer","apartment","asian"
"75+","college graduate","professional/managerial","house","asian"
"75+","college graduate","professional/managerial","house","asian"
"[40,50)","high school graduate","military","apartment","white"
"[40,50)","grades 9-11","student","house","asian"
"[0,10)","grade <9","student","house","white"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grades 9-11","student","apartment","hispanic"
"[0,10)","grades 9-11","student","house","hispanic"
"[0,10)","grade <9","student","apartment","hispanic"
"[30,40)","college (1-3 years)","clerical/service","apartment","white"
"[40,50)","high school graduate","student","house","white"
"[0,10)","grade <9","student","house","black"
"[50,75)","graduate study","professional/managerial","apartment","black"
"[0,10)","grade <9","student","house","asian"
"[30,40)","high school graduate","student","apartment","hispanic"
"[30,40)","high school graduate","student","apartment","hispanic"
"[0,10)","grade <9","student","apartment","hispanic"
"[0,10)","grade <9","student","apartment","hispanic"
"75+","graduate study","professional/managerial","house","white"
"[25,30)","college (1-3 years)","sales","apartment","black"
"[0,10)","grade <9","student","apartment","hispanic"
"[30,40)","high school graduate","homemaker","apartment","hispanic"
"75+","college (1-3 years)","professional/managerial","house","hispanic"
"[0,10)","grades 9-11","student","apartment","hispanic"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grades 9-11","student","house","hispanic"
"[0,10)","grade <9","student","house","white"
"[40,50)","grades 9-11","student","house","hispanic"
"75+","college graduate","professional/managerial","house","asian"
"[0,10)","grades 9-11","student","house","asian"
"[0,10)","grades 9-11","student","house","asian"
"[50,75)","college graduate","professional/managerial","house","white"
"[50,75)","college graduate","clerical/service","house","asian"
"[40,50)","high school graduate","military","apartment","white"
"[50,75)","college graduate","professional/managerial","house","white"
"75+","college graduate","professional/managerial","house","other"
"[0,10)","grades 9-11","student","house","black"
"[30,40)","high school graduate","professional/managerial","apartment","black"
"[25,30)","high school graduate","laborer","house","white"
"[20,25)","college (1-3 years)","clerical/service","condominium","white"
"[20,25)","high school graduate","clerical/service","house","hispanic"
"[40,50)","college graduate","professional/managerial","apartment","white"
"[40,50)","college (1-3 years)","clerical/service","house","black"
"[30,40)","college (1-3 years)","professional/managerial","apartment","black"
"[10,15)","high school graduate","sales","apartment","black"
"[15,20)","high school graduate","student","apartment","black"
"[40,50)","college graduate","professional/managerial","condominium","white"
"[10,15)","grades 9-11","homemaker","apartment","white"
"[40,50)","high school graduate","sales","house","white"
"[15,20)","grades 9-11","homemaker","house","white"
"[0,10)","grades 9-11","student","house","white"
"[20,25)","high school graduate","homemaker","apartment","white"
"[30,40)","college graduate","professional/managerial","apartment","black"
"[10,15)","college (1-3 years)","sales","house","black"
"[0,10)","high school graduate","homemaker","apartment","american indian"
"[0,10)","grades 9-11","student","house","asian"
"[15,20)","college (1-3 years)","homemaker","apartment","black"
"[25,30)","college (1-3 years)","student","house","hispanic"
"[25,30)","high school graduate","clerical/service","house","white"
"[40,50)","college (1-3 years)","clerical/service","house","hispanic"
"[40,50)","college (1-3 years)","professional/managerial","house","hispanic"
"[30,40)","college graduate","laborer","house","black"
"[0,10)","grades 9-11","student","house","black"
"[40,50)","college graduate","professional/managerial","house","white"
"[30,40)","high school graduate","homemaker","house","white"
"[30,40)","high school graduate","professional/managerial","house","white"
"[30,40)","college (1-3 years)","clerical/service","house","white"
"[30,40)","college (1-3 years)","professional/managerial","house","white"
"[0,10)","grades 9-11","student","house","white"
"[30,40)","graduate study","professional/managerial","house","white"
"[25,30)","high school graduate","homemaker","house","white"
"[0,10)","grades 9-11","student","house","white"
"[30,40)","college (1-3 years)","homemaker","house","black"
"[0,10)","grade <9","student","house","east indian"
"[25,30)","college (1-3 years)","clerical/service","house","white"
"[10,15)","grade <9","laborer","house","white"
"[10,15)","high school graduate","student","house","white"
"[0,10)","grade <9","student","apartment","hispanic"
"[25,30)","college graduate","homemaker","house","white"
"[0,10)","grade <9","student","house","asian"
"[40,50)","college (1-3 years)","homemaker","house","white"
"[0,10)","high school graduate","student","house","white"
"[15,20)","grades 9-11","clerical/service","apartment","white"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","high school graduate","student","house","white"
"[0,10)","grade <9","student","house","white"
"[0,10)","grade <9","student","house","white"
"[0,10)","grades 9-11","unemployed","house","white"
"[20,25)","grades 9-11","sales","house","white"
"[25,30)","college graduate","professional/managerial","house","white"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grade <9","unemployed","house","american indian"
"[0,10)","grades 9-11","student","house","other"
"75+","college graduate","professional/managerial","house","white"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grade <9","unemployed","house","american indian"
"[0,10)","grade <9","unemployed","house","american indian"
"[0,10)","grades 9-11","student","house","white"
"[50,75)","grades 9-11","student","house","white"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grade <9","student","house","white"
"[50,75)","college (1-3 years)","professional/managerial","house","white"
"[0,10)","grades 9-11","student","house","hispanic"
"[30,40)","high school graduate","student","house","black"
"[30,40)","college (1-3 years)","laborer","house","black"
"[0,10)","grade <9","unemployed","apartment","black"
"[0,10)","grade <9","student","house","hispanic"
"75+","college graduate","professional/managerial","house","white"
"[25,30)","grade <9","unemployed","house","white"
"[40,50)","grade <9","unemployed","apartment","white"
"[0,10)","grades 9-11","student","apartment","white"
"[0,10)","grade <9","student","house","white"
"[0,10)","grades 9-11","student","house","pacific islander"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grades 9-11","student","house","white"
"[50,75)","high school graduate","professional/managerial","house","black"
"75+","high school graduate","student","house","white"
"[0,10)","grades 9-11","student","house","white"
"75+","grades 9-11","unemployed","house","white"
"75+","college (1-3 years)","professional/managerial","house","asian"
"[0,10)","grade <9","unemployed","house","white"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grade <9","student","house","white"
"[10,15)","college (1-3 years)","student","house","white"
"[10,15)","grade <9","laborer","house","white"
"[0,10)","grade <9","student","house","white"
"[50,75)","high school graduate","professional/managerial","house","black"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grades 9-11","student","condominium","white"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grade <9","student","condominium","asian"
"[30,40)","grades 9-11","professional/managerial","apartment","white"
"[40,50)","high school graduate","homemaker","house","white"
"[50,75)","college graduate","homemaker","house","white"
"[20,25)","college (1-3 years)","sales","apartment","white"
"[50,75)","high school graduate","homemaker","house","white"
"[40,50)","college graduate","professional/managerial","house","white"
"75+","college graduate","professional/managerial","house","white"
"[40,50)","college graduate","professional/managerial","house","white"
"[25,30)","college (1-3 years)","sales","house","white"
"[40,50)","graduate study","military","house","white"
"[50,75)","college graduate","professional/managerial","condominium","white"
"[20,25)","college graduate","clerical/service","apartment","white"
"[50,75)","college graduate","retired","house","white"
"[20,25)","college (1-3 years)","clerical/service","apartment","black"
"[25,30)","college (1-3 years)","professional/managerial","apartment","black"
"[20,25)","graduate study","student","apartment","black"
"[0,10)","high school graduate","homemaker","apartment","black"
"[40,50)","college graduate","clerical/service","house","white"
"[0,10)","grades 9-11","student","apartment","white"
"[0,10)","grade <9","student","other","white"
"[50,75)","high school graduate","student","house","hispanic"
"[30,40)","college (1-3 years)","clerical/service","house","black"
"[25,30)","college (1-3 years)","professional/managerial","apartment","white"
"[0,10)","high school graduate","clerical/service","house","black"
"[40,50)","college graduate","homemaker","house","white"
"[30,40)","graduate study","professional/managerial","apartment","white"
"[40,50)","high school graduate","clerical/service","apartment","other"
"[0,10)","high school graduate","homemaker","house","american indian"
"[0,10)","grade <9","student","condominium","asian"
